FEN,Move,Win Probability
2r5/p2r1k2/5p2/1RP3pp/3b4/1P4BP/6P1/4RK2 w - - 1 34,"['b3b4', 'e1d1', 'e1c1', 'g3f2', 'g3d6', 'c5c6', 'e1e4', 'e1b1', 'f1e2', 'e1e2', 'h3h4', 'b5a5', 'g3h2', 'b5b8', 'g3b8', 'b5b4', 'g3f4', 'g3h4', 'g3c7', 'g3e5', 'e1a1', 'e1e3', 'e1e7', 'b5b7', 'e1e5', 'e1e6', 'e1e8', 'b5b6']","[0.5486333135073832, 0.5165632973121441, 0.5009205189599892, 0.49539752999711567, 0.4926363724400336, 0.4009888189823705, 0.40010471851325186, 0.37476952142308345, 0.3696073624137258, 0.3661823363988792, 0.3627707844161063, 0.34177138985111283, 0.32057201036650806, 0.3055293955493827, 0.30396910093037527, 0.2586350767502906, 0.194460547256589, 0.1837353232049962, 0.15098510766141626, 0.14044687122292038, 0.12358976412903044, 0.1227943211955751, 0.11620943498073888, 0.1139595988024229, 0.1135883369859218, 0.11138285043817636, 0.10708408206807812, 0.10673252134178429]"
r1b2bnr/pppp1kpp/8/4N3/4P3/8/PPPP1PqP/RNB1K2R b KQ - 1 8,"['f7e8', 'f7f6', 'f7e6', 'f7e7']","[0.9723629361257162, 0.9579560306528251, 0.9559853005330058, 0.9423886797410227]"
rnbqk2r/pp3ppp/3bpn2/3p4/3P4/2N2N2/PPQ1PPPP/R1B1KB1R w KQkq - 0 7,"['c3b5', 'c1g5', 'a2a3', 'e2e3', 'c1d2', 'a1b1', 'g2g3', 'h2h3', 'e2e4', 'c2d1', 'c1e3', 'b2b3', 'a2a4', 'c2b3', 'c2b1', 'c2d3', 'h2h4', 'g2g4', 'f3e5', 'c2d2', 'f3g5', 'f3d2', 'h1g1', 'c2a4', 'f3h4', 'c3b1', 'c3a4', 'e1d2', 'c3d1', 'e1d1', 'f3g1', 'b2b4', 'c3d5', 'c1h6', 'c1f4', 'c3e4', 'c2h7', 'c2g6', 'c2f5', 'c2e4']","[0.5229967635676993, 0.5174827500461167, 0.5027615319200139, 0.49539752999711567, 0.4944771046316658, 0.49079583987119135, 0.48895555679024805, 0.4825172499538834, 0.48067870579756605, 0.48067870579756605, 0.47516641034760715, 0.47516641034760715, 0.4742482461063748, 0.4742482461063748, 0.467826316589383, 0.4586711116420767, 0.45501647940453177, 0.45227865991833244, 0.4513666864926168, 0.44954372531791664, 0.4486327495624493, 0.44499235158754635, 0.44135784741538037, 0.44135784741538037, 0.4404501867400794, 0.4395429240174578, 0.4332037205612503, 0.4332037205612503, 0.4304934733529298, 0.4295909740554304, 0.4295909740554304, 0.3869241464463639, 0.14678605153511798, 0.14495105737956576, 0.12358976412903044, 0.09473750066487285, 0.06822522266416714, 0.05082264714033852, 0.03987487761127173, 0.03351285051151409]"
2b5/8/1p6/8/1PP1B1P1/p1K2N1P/k7/8 w - - 4 44,"['b4b5', 'f3d4', 'g4g5', 'f3d2', 'e4d3', 'f3e1', 'c3c2', 'f3h2', 'e4f5', 'e4c2', 'e4h7', 'c4c5', 'f3g1', 'h3h4', 'f3e5', 'f3g5', 'e4c6', 'e4d5', 'e4g6', 'f3h4', 'e4a8', 'e4b7', 'c3d3', 'c3d2', 'c3d4', 'e4b1']","[0.932705131381639, 0.9266921092161773, 0.9209952833572687, 0.920726948622784, 0.9204577812176484, 0.9201877790931953, 0.9179974659215383, 0.9171620770109894, 0.9131604245116784, 0.9089846472089855, 0.9086795639080399, 0.9071403124659402, 0.9020571948855387, 0.9014046421228699, 0.8994237016771093, 0.8984200328904497, 0.8980835075224126, 0.8977459941661641, 0.8970679952534645, 0.8960435355372941, 0.8925633384935145, 0.7973371350857725, 0.7801662604387296, 0.7789006509604562, 0.6507349938882695, 0.5595498132599205]"
1k6/pp1q2pp/1P6/P3p3/2Q5/7P/5PPK/8 b - - 0 32,"['d7d8', 'a7b6', 'd7e8', 'a7a6', 'h7h6', 'e5e4', 'd7c8', 'd7c6', 'g7g5', 'h7h5', 'g7g6', 'd7a4', 'd7d1', 'd7g4', 'd7d2', 'd7f7', 'd7f5', 'd7e6', 'd7c7', 'b8a8', 'd7e7', 'd7d4', 'd7d3', 'd7h3', 'd7d6', 'd7b5', 'd7d5']","[0.28410246577959375, 0.27373565145955325, 0.20565410284842756, 0.14540801215840354, 0.047551934022181996, 0.045430352894413106, 0.0441698922302976, 0.04401469946699421, 0.04386002695894731, 0.04072933645622201, 0.03917597798883088, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
4r3/8/4p1p1/p1p5/2P1R2p/P1P1pNk1/1P2B3/2K3R1 b - - 3 41,"['g3f2', 'g3h3']","[0.07688776954513865, 0.0]"
r1bq1rk1/ppp2ppp/2pb4/8/8/2P1B3/P1P2PPP/R2QK1NR w KQ - 1 10,"['d1d3', 'g1e2', 'd1d2', 'h2h3', 'a2a4', 'g1f3', 'd1h5', 'd1f3', 'd1d4', 'h2h4', 'd1c1', 'a1b1', 'a2a3', 'd1e2', 'e3d4', 'g2g3', 'd1b1', 'a1c1', 'f2f4', 'c3c4', 'e1f1', 'f2f3', 'e1d2', 'e1e2', 'e3c1', 'e3d2', 'g1h3', 'g2g4', 'e3h6', 'e3a7', 'e3f4', 'e3c5', 'd1d6', 'e3b6', 'e3g5', 'd1d5', 'd1g4']","[0.2509451617398634, 0.24818682246504542, 0.23936334447111163, 0.2373579657373579, 0.2366920834084017, 0.2366920834084017, 0.23470217892023404, 0.22945266703370382, 0.22300753025901537, 0.21920288905293317, 0.21794509769450665, 0.21794509769450665, 0.21358389864815974, 0.21173437828081765, 0.19045484200262652, 0.18819434981303984, 0.1876324575456314, 0.18707185632643297, 0.18539779231227405, 0.1837353232049962, 0.1772009855540524, 0.17347424696948943, 0.1631679274437725, 0.1631679274437725, 0.16066965780092213, 0.15869338408054756, 0.15431891796545932, 0.14540801215840354, 0.10259250923752877, 0.08801463783567065, 0.07688776954513865, 0.07636671651344662, 0.061105378420221235, 0.06026583458431928, 0.05861904138401908, 0.03303906778830695, 0.03176929171490711]"
r1bqkb1r/ppp2ppp/2n2n2/8/2pP1B2/4P3/PP4PP/RN1QKBNR w KQkq - 0 7,"['f1c4', 'b1c3', 'g1f3', 'f4g5', 'a2a3', 'b1d2', 'g1e2', 'd1d2', 'g2g3', 'f1e2', 'd1c1', 'd1a4', 'd1c2', 'h2h3', 'd1e2', 'a2a4', 'f4g3', 'h2h4', 'd1f3', 'g1h3', 'e3e4', 'g2g4', 'e1e2', 'e1d2', 'd4d5', 'b1a3', 'f4e5', 'e1f2', 'b2b3', 'b2b4', 'f4h6', 'f4c7', 'f1d3', 'f4d6', 'd1b3', 'd1h5', 'd1d3', 'd1g4']","[0.44590191339485113, 0.38343625677752047, 0.36874985869153015, 0.3627707844161063, 0.3576793498105364, 0.33681889732873044, 0.3189701789020309, 0.31339752781910246, 0.30944966094531423, 0.3055293955493827, 0.28560262776338907, 0.28560262776338907, 0.2848519525637597, 0.2818611582905738, 0.2796306260994816, 0.27154510710718377, 0.2671971513914837, 0.2621807972981455, 0.2579296914716822, 0.24681529249348733, 0.21983373956127034, 0.2105078875691775, 0.20989659908230773, 0.1991163680760002, 0.19736068787568456, 0.1927360397463046, 0.1772009855540524, 0.1692912623296785, 0.15625083235725656, 0.12438962914872875, 0.12358976412903044, 0.1165881370128245, 0.11284897623993229, 0.08228014108429627, 0.03054677475132911, 0.029792661930435005, 0.029686415259222054, 0.029056608017509422]"
7r/pp2k1p1/6pp/3Rp3/2P1q2b/2K1B3/PP3P2/R7 b - - 3 28,"['h8c8', 'h8d8', 'h6h5', 'h8e8', 'h8f8', 'h8a8', 'e4g2', 'e4f3', 'e7f7', 'e7e6', 'h4f2', 'a7a5', 'h8b8', 'e7e8', 'h4f6', 'h8g8', 'b7b6', 'e7f8', 'a7a6', 'e7f6', 'b7b5', 'e4g4', 'g6g5', 'e4f5', 'h8h7', 'h4g5', 'h4g3', 'e4d5', 'e4f4', 'e4e3', 'e4d4', 'e4c4', 'e4b1', 'e4c2', 'e4h1', 'e4d3']","[0.9154680395423619, 0.9010769157808419, 0.8967275055826844, 0.8967275055826844, 0.8950100729306683, 0.893967552119787, 0.893967552119787, 0.8925633384935145, 0.8918551153472504, 0.8911427929743677, 0.8911427929743677, 0.8900665879155911, 0.8889810685801525, 0.8889810685801525, 0.8889810685801525, 0.8886171495618236, 0.8875191266750968, 0.8852947047359662, 0.8852947047359662, 0.883790565019261, 0.883790565019261, 0.8682101242356407, 0.8639396241959597, 0.8595531287770796, 0.8559592741390071, 0.8403209554949015, 0.7991162424527938, 0.7448792723830472, 0.4815979155878063, 0.4669097177008696, 0.4054188880512549, 0.18875753377152027, 0.13562813456382855, 0.13305894980200939, 0.1276336111356119, 0.11174781242532256]"
r1bqkbnr/pppn1ppp/3p4/4p3/3P1P2/2P1P3/PP4PP/RNBQKBNR b KQkq - 0 4,"['g7g6', 'g8f6', 'e5f4', 'e5e4', 'g8h6', 'g8e7', 'f7f5', 'd8e7', 'f8e7', 'd8h4', 'd7f6', 'c7c6', 'h7h5', 'c7c5', 'a7a5', 'e5d4', 'a7a6', 'd7b6', 'h7h6', 'b7b6', 'a8b8', 'g7g5', 'd7b8', 'd8f6', 'f7f6', 'b7b5', 'e8e7', 'd6d5', 'd7c5', 'd8g5']","[0.5468090461073719, 0.5431567852197504, 0.5385849714102531, 0.53675438329054, 0.5340066578563346, 0.5303398401818216, 0.522078114090291, 0.519321294202434, 0.5119644756166626, 0.5018410316799476, 0.4926363724400336, 0.49079583987119135, 0.49079583987119135, 0.48895555679024805, 0.4825172499538834, 0.48067870579756605, 0.47884068475933794, 0.4696601598181785, 0.46416128552924907, 0.45227865991833244, 0.44954372531791664, 0.4404501867400794, 0.4377296159574105, 0.4295909740554304, 0.4286889425850106, 0.4223883025523238, 0.40010471851325186, 0.38779794964864106, 0.20147549095983824, 0.03375219486920461]"
8/1p4kp/2br2p1/p7/2Bp4/1P4P1/5P1P/3R2K1 b - - 0 31,"['b7b5', 'c6d7', 'c6f3', 'g7f6', 'c6e4', 'g7f8', 'd6d8', 'b7b6', 'c6e8', 'h7h5', 'h7h6', 'g7h6', 'd6d7', 'g6g5', 'd4d3', 'a5a4', 'g7h8', 'd6f6', 'c6d5', 'd6d5', 'c6b5', 'c6h1', 'c6g2', 'c6a4', 'd6e6']","[0.7320812691889782, 0.7143973722366109, 0.7083494652148071, 0.7045315144213936, 0.70145635827134, 0.6968093609074746, 0.6944706044506174, 0.6913366122677582, 0.6889744833321929, 0.6858096201223898, 0.6810298210979692, 0.6754049255580261, 0.6729785473928086, 0.6721676854974802, 0.6473801693008373, 0.6440107489122191, 0.6346718261450347, 0.5504562746820834, 0.28260706642917927, 0.2708173738774771, 0.20088375754720622, 0.17347424696948943, 0.17294694147710776, 0.15625083235725656, 0.13736406646514476]"
4R3/pp6/2p2k2/P2n2p1/2PP1p2/1K1B1P2/6PP/4R3 b - - 0 36,"['d5e3', 'd5c7', 'd5b4', 'f6g7', 'b7b5', 'g5g4', 'd5c3', 'b7b6', 'a7a6', 'f6f7', 'c6c5', 'd5e7', 'd5b6']","[0.04873299080067217, 0.024640903050102025, 0.019997290246807298, 0.019288309044073748, 0.01820488573987078, 0.018008498299770248, 0.016873120712229406, 0.015808172679801336, 0.01513523720689608, 0.013722581932539224, 0.012305133468883622, 0.0, 0.0]"
r2q1rk1/p1p2p2/1p1p4/2nn3p/6p1/1P4Q1/PRP1N1PP/4R1K1 b - - 0 22,"['f8e8', 'd8g5', 'd8f6', 'a7a5', 'd5f6', 'f7f5', 'b6b5', 'c5e6', 'c7c6', 'd8e7', 'c5e4', 'd5e7', 'c5d7', 'a8b8', 'a7a6', 'g8g7', 'd5b4', 'a8c8', 'd8d7', 'd8e8', 'f7f6', 'g8h8', 'g8h7', 'c5a6', 'c5b7', 'd8c8', 'd5e3', 'c5a4', 'd5c3', 'd8b8', 'c5b3', 'c5d3', 'd5f4', 'h5h4', 'd8h4']","[0.8845447646163958, 0.8799551249320322, 0.8748060686370382, 0.8703024236418141, 0.8665157323943802, 0.8639396241959597, 0.8626359335348552, 0.856412654066665, 0.856412654066665, 0.8513597626267853, 0.8508932058895783, 0.8403209554949015, 0.8373342157114151, 0.8358240437072986, 0.8358240437072986, 0.8307087376703215, 0.8291496060284106, 0.8275790955442313, 0.8173665575867681, 0.8162646767950037, 0.8095451579973735, 0.8026393121243155, 0.7955463025225148, 0.7876504194826723, 0.7711976913496135, 0.7552324281876817, 0.7448792723830472, 0.7434773086886245, 0.7181388417094262, 0.711382833072352, 0.7106262503410556, 0.7037644505807509, 0.676211637485054, 0.5686035652810878, 0.13562813456382855]"
r4rk1/1pbb1ppp/4p3/pP1p4/P1PNn2q/4PP2/1B2B1PP/2RQ1RK1 w - - 1 18,"['f3f4', 'g2g3', 'h2h3', 'e2d3', 'b2a3', 'b5b6', 'b2a1', 'c1a1', 'd1d3', 'c1c3', 'd1d2', 'd4c2', 'd4f5', 'c4d5', 'd4e6', 'd1c2', 'c1b1', 'g1h1', 'd4b3', 'f1e1', 'f3e4', 'g2g4', 'c4c5', 'd1b3', 'd1e1', 'f1f2', 'd4c6', 'c1c2', 'b2c3']","[0.607822300927273, 0.38343625677752047, 0.22685902088008758, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
r1b2b1r/ppk1nBpp/3qNn2/2p5/8/6Q1/PPPP1PPP/RNB1K2R b KQ - 6 11,"['c8e6', 'c7c6', 'c7d7', 'c7b6', 'c7b8']","[0.3869241464463639, 0.2803729359815208, 0.2774109267875924, 0.0, 0.0]"
2kr1b1r/ppp2ppp/2n2n2/3q4/3P2b1/2N2N2/PP2BPPP/R1BQ1RK1 b - - 8 9,"['d5d6', 'd5d7', 'd5f5', 'd5a5', 'd5h5', 'd5e6', 'g4f3', 'd5d4', 'd5f3', 'c6d4', 'a7a6', 'd5c5', 'h7h5', 'd8e8', 'g7g6', 'g4e6', 'd8d7', 'h7h6', 'g4f5', 'd8d6', 'f8b4', 'f6e4', 'f8e7', 'f8c5', 'g4h5', 'f6h5', 'd5e4', 'c6a5', 'a7a5', 'f8d6', 'c6b8', 'f8a3', 'c6e7', 'f6g8', 'h8g8', 'f6e8', 'd5e5', 'g7g5', 'c6b4', 'g4d7', 'b7b5', 'c8b8', 'b7b6', 'c6e5', 'd5a2', 'd5c4', 'g4h3', 'd5b3', 'd5b5', 'c8d7', 'f6d7', 'd5g5']","[0.5248335896523929, 0.5, 0.49355671670047907, 0.45775702105393146, 0.4486327495624493, 0.44135784741538037, 0.2427313650702102, 0.14678605153511798, 0.1463255076659773, 0.1422343301868677, 0.1223982532701347, 0.11849774804133456, 0.11734875537361839, 0.1165881370128245, 0.11507973387664883, 0.1139595988024229, 0.10993341208440888, 0.10708408206807812, 0.10533642481155803, 0.10429994894276634, 0.10429994894276634, 0.10429994894276634, 0.10293200474653547, 0.10191649247758733, 0.1012444276691743, 0.09892308421915808, 0.09892308421915808, 0.09826859886598244, 0.09794280511446124, 0.09761797455048427, 0.09697119469294446, 0.09697119469294446, 0.09568910197471286, 0.09537095564452558, 0.09505375590046167, 0.09473750066487285, 0.09410781540650409, 0.09348188324070156, 0.09317031936972209, 0.09254998565401296, 0.09162643894872474, 0.09132043609196017, 0.08950365682918204, 0.08831063994889787, 0.08801463783567065, 0.08339914250457947, 0.07954221878235157, 0.07741207977412268, 0.07636671651344662, 0.06822522266416714, 0.06660484252279597, 0.06524446379186621]"
2kr3r/pppq1ppp/5n2/3pP3/8/2N1P1P1/PP2QPP1/R3K2R b KQ - 0 13,"['f6g4', 'f6e4', 'f6e8', 'f6g8', 'd5d4', 'h8e8', 'd7f5', 'd7c6', 'd7e6', 'c7c5', 'g7g6', 'c8b8', 'a7a6', 'g7g5', 'h8g8', 'd7e7', 'h7h5', 'c7c6', 'f6h5', 'a7a5', 'b7b5', 'd8e8', 'h7h6', 'h8f8', 'd7e8', 'd7g4', 'b7b6', 'd8f8', 'd8g8', 'd7d6', 'd7h3', 'd7a4', 'd7b5']","[0.5440703011199586, 0.5027615319200139, 0.5009205189599892, 0.4843562675785791, 0.3551455424350716, 0.22945266703370382, 0.1991163680760002, 0.1831837401142804, 0.17827723949223973, 0.1772009855540524, 0.17453266737981438, 0.1646818444286432, 0.1596790445050985, 0.1572241570074313, 0.15673687957968802, 0.15383900101915987, 0.15193153729600622, 0.1500435305626528, 0.1500435305626528, 0.148174886276199, 0.14771073929444967, 0.1400029530333191, 0.13911864088681591, 0.13867824357894337, 0.1347671251678204, 0.13305894980200939, 0.1313691382702844, 0.11583180176076446, 0.11284897623993229, 0.0647967765156155, 0.05781155462672544, 0.056032737915242325, 0.04959358724764201]"
rnbqk2r/pppp1ppp/8/4p3/2P1n3/P1P1B3/1P3PPP/R2QKBNR b KQkq - 1 6,"['d8e7', 'd7d6', 'e4f6', 'e8g8', 'f7f5', 'd8f6', 'd8h4', 'b8c6', 'e4d6', 'e4g5', 'f7f6', 'c7c6', 'd7d5', 'e8f8', 'h7h5', 'b8a6', 'a7a5', 'h7h6', 'h8g8', 'a7a6', 'e8e7', 'h8f8', 'c7c5', 'b7b6', 'g7g6', 'e4c3', 'e4f2', 'g7g5', 'e4c5', 'b7b5', 'e4d2', 'e4g3', 'd8g5']","[0.6260928550975975, 0.6165637432224795, 0.6148212729952696, 0.6025436609853058, 0.5695065266470701, 0.5449835205954683, 0.5376698043044984, 0.5303398401818216, 0.5257517538936253, 0.5184020844121936, 0.48803552438333736, 0.47608474251652944, 0.46874313267512907, 0.4623301956955016, 0.4332037205612503, 0.4322998523826144, 0.41253886284800134, 0.4054188880512549, 0.4027589492090241, 0.3983384732724953, 0.38779794964864106, 0.36447485800156987, 0.3627707844161063, 0.3467586268993149, 0.3237883625149461, 0.2901315068241716, 0.27009086783348246, 0.26503983597811637, 0.23272390323804226, 0.23075727435752347, 0.1646818444286432, 0.1276336111356119, 0.07688776954513865]"
5b1r/1prk1pp1/pQ1npnp1/3p4/5B2/2P4P/PP3PP1/R4RK1 w - - 5 21,"['a1d1', 'f4h2', 'a1c1', 'f1e1', 'c3c4', 'f4e5', 'f1c1', 'f1d1', 'b6b3', 'a1b1', 'b2b3', 'a1e1', 'b6e3', 'a2a4', 'f4g3', 'f1b1', 'a2a3', 'g2g3', 'g1h1', 'f4d6', 'b6a7', 'f2f3', 'g1h2', 'b6d4', 'b6a5', 'g2g4', 'f4c1', 'b2b4', 'f4g5', 'h3h4', 'f4e3', 'f4d2', 'b6b4', 'f4h6', 'b6c7', 'b6d6', 'b6a6', 'b6b7', 'b6b5', 'b6c5', 'b6c6']","[0.7306344092139007, 0.7262643485404467, 0.7240628269004115, 0.7225890732124075, 0.7181388417094262, 0.7121382389811245, 0.7060621760779617, 0.7045315144213936, 0.7045315144213936, 0.7029962348564509, 0.6975866953111407, 0.6921217783768152, 0.6913366122677582, 0.6889744833321929, 0.6889744833321929, 0.6881849068891515, 0.6873942354748303, 0.6810298210979692, 0.6786254827184693, 0.676211637485054, 0.674597170920925, 0.6737883770370706, 0.6721676854974802, 0.6689139863954203, 0.6640030811678618, 0.6582286101488871, 0.6490594228774123, 0.6423206501894636, 0.6329626589047256, 0.6095763271311208, 0.6095763271311208, 0.5504562746820834, 0.4825172499538834, 0.1938844142805335, 0.15145771517415685, 0.10293200474653547, 0.06916748505642234, 0.06614848131031625, 0.06026583458431928, 0.05943709526487312, 0.05681687720615164]"
8/5pkp/p1n3p1/1p3n2/1P6/P1N2N2/5PPP/5K2 b - - 0 25,"['f5d6', 'c6d4', 'f7f6', 'f5e7', 'f5d4', 'g7g8', 'h7h5', 'g7f8', 'h7h6', 'g7f6', 'c6e7', 'g7h6', 'g7h8', 'c6d8', 'c6b8', 'f5h6', 'g6g5', 'c6a7', 'a6a5', 'c6b4', 'f5h4', 'c6a5', 'c6e5', 'f5g3', 'f5e3']","[0.5, 0.497238468079986, 0.4917160780856239, 0.48987566402915633, 0.48803552438333736, 0.4843562675785791, 0.4825172499538834, 0.4825172499538834, 0.48067870579756605, 0.48067870579756605, 0.47975962678773254, 0.477921885909709, 0.47700323643230064, 0.4714948226881868, 0.46416128552924907, 0.45501647940453177, 0.4513666864926168, 0.44499235158754635, 0.32540282907907503, 0.17881728296347305, 0.14678605153511798, 0.1444952958104478, 0.1301137622360911, 0.1280441483889645, 0.12640873729115243]"
rn1qk1nr/pbp2ppp/1p2p3/8/4PP2/P1P2N2/2P3PP/R1BQKB1R b KQkq - 0 8,"['d8d1', 'g8f6', 'b8d7', 'b7e4', 'd8d6', 'a7a6', 'b8c6', 'b8a6', 'g8e7', 'h7h5', 'c7c5', 'd8d7', 'h7h6', 'd8c8', 'd8e7', 'a7a5', 'g8h6', 'b7a6', 'd8f6', 'f7f5', 'b7c6', 'c7c6', 'g7g6', 'e8e7', 'f7f6', 'b7c8', 'b6b5', 'e6e5', 'g7g5', 'b7d5', 'd8h4', 'd8d2', 'd8d5', 'd8d4', 'd8g5', 'd8d3', 'e8f8']","[0.6590564612649169, 0.5431567852197504, 0.5385849714102531, 0.5330902822991305, 0.5064432832995209, 0.49079583987119135, 0.47884068475933794, 0.47700323643230064, 0.4733302559691369, 0.4669097177008696, 0.46141502858974687, 0.454103562397001, 0.45227865991833244, 0.45227865991833244, 0.4504550396254112, 0.4504550396254112, 0.4368235823566406, 0.4368235823566406, 0.4359179701815651, 0.4332037205612503, 0.42508560971233006, 0.40364496835363256, 0.4009888189823705, 0.40010471851325186, 0.39657487064657393, 0.38605107056395144, 0.34926500611173045, 0.3484286119517737, 0.33517593247566096, 0.1284558117032647, 0.056032737915242325, 0.0506453181708183, 0.04942032339780161, 0.047219514800256934, 0.04058571893540408, 0.03460295698005372, 0.0]"
rn1qkbnr/pp5p/2p2pp1/1Q6/2b1P3/8/PPPP1PPP/RNB1K2R w KQkq - 0 9,"['b5c4', 'b5b7', 'b5a4', 'b5b3', 'a2a4', 'b1a3', 'h2h4', 'b2b3', 'd2d3', 'b5g5', 'b1c3', 'b5d5', 'b5h5', 'h2h3', 'b5f5', 'g2g3', 'a2a3', 'b5a5', 'b5b6', 'e1d1', 'b5c6', 'e4e5', 'b2b4', 'f2f3', 'b5e5', 'f2f4', 'd2d4', 'b5b4', 'h1f1', 'c2c3', 'b5c5', 'h1g1', 'b5a6', 'g2g4']","[0.3434299837156404, 0.17666477329070246, 0.05861904138401908, 0.0447958973277337, 0.03303906778830695, 0.02854168693459075, 0.027736185643187417, 0.02572543517469833, 0.025450021900391195, 0.025358857178220284, 0.024640903050102025, 0.024202283477154085, 0.02385687836217837, 0.02309720904364143, 0.022767207128826017, 0.022685428835185262, 0.022685428835185262, 0.022361175571334657, 0.02110886462219086, 0.020957232355090727, 0.02080666616305804, 0.02080666616305804, 0.020287976797664864, 0.020287976797664864, 0.01956889542513185, 0.01949837603599114, 0.01949837603599114, 0.01949837603599114, 0.019218780968537075, 0.0191494986253245, 0.018738918461668752, 0.01807372860307399, 0.017431732030823766, 0.01693430937636181]"
rnbq1rk1/ppp3p1/3b4/3PNpP1/3Pp1n1/2N5/PPP1BPP1/R2QK2R b KQ - 1 11,"['d8g5', 'b8a6', 'd6e5', 'g4e5', 'd8e8', 'e4e3', 'b8d7', 'g4f2', 'c8d7', 'b7b5', 'b7b6', 'a7a5', 'a7a6', 'd6b4', 'g7g6', 'd8e7', 'g4h2', 'd6e7', 'g4e3', 'f8e8', 'd6c5', 'g4f6', 'c7c5', 'd6a3', 'b8c6', 'f5f4', 'c8e6', 'g4h6', 'c7c6', 'f8f6', 'd8d7', 'f8f7', 'd8f6']","[0.7313584554765282, 0.6286751633890878, 0.6269544312155905, 0.6122020503513589, 0.5990111810176295, 0.5945811119487451, 0.5945811119487451, 0.5595498132599205, 0.5394998785122574, 0.5358387144707508, 0.5349228039541688, 0.5156437324214209, 0.5055228953683342, 0.5, 0.43501278527292314, 0.4098644115408538, 0.38430712075371815, 0.37476952142308345, 0.3730455687844096, 0.3376418641828339, 0.32621162296292944, 0.31181509311084854, 0.3102370382643316, 0.2730042477661579, 0.2340414606810215, 0.23272390323804226, 0.22945266703370382, 0.22173410747470712, 0.1915928504041009, 0.18044508988832997, 0.14771073929444967, 0.08950365682918204, 0.07559120864726726]"
r1bqk2r/pp2npbp/2npp1p1/2p3B1/2B1P3/2NP1N2/PPPQ1PPP/R4RK1 b kq - 5 8,"['h7h6', 'a8b8', 'e8g8', 'a7a6', 'd8a5', 'c8d7', 'c6d4', 'h7h5', 'b7b6', 'f7f6', 'd8d7', 'd8c7', 'a7a5', 'c6a5', 'd8b6', 'e8f8', 'c6e5', 'c6b8', 'e6e5', 'h8g8', 'e8d7', 'h8f8', 'b7b5', 'f7f5', 'c6b4', 'd6d5', 'g7c3', 'g7d4', 'g7f8', 'g7e5', 'e7d5', 'e7f5', 'g7h6', 'g7f6', 'e7g8']","[0.5695065266470701, 0.5, 0.5, 0.497238468079986, 0.48895555679024805, 0.47608474251652944, 0.47516641034760715, 0.4724124461074959, 0.4724124461074959, 0.4696601598181785, 0.46874313267512907, 0.4486327495624493, 0.44408315815517135, 0.4404501867400794, 0.4404501867400794, 0.4386360651319824, 0.4322998523826144, 0.4259857125367345, 0.41879910735532644, 0.415218486764101, 0.40010471851325186, 0.39922126818820586, 0.36107015153620403, 0.3534608279851336, 0.35261983069916264, 0.30008809407041565, 0.2970037651435491, 0.2931742312343752, 0.2774109267875924, 0.2708173738774771, 0.07793966348758313, 0.07714951649262453, 0.07714951649262453, 0.07330789078382272, 0.0715760679645217]"
r1bq1rk1/pp1n1ppp/5b2/P2p4/3Np3/2P1P1P1/1P3P1P/RN1QKB1R b KQ - 0 11,"['g7g6', 'd7e5', 'f8e8', 'a8b8', 'b7b6', 'a7a6', 'h7h6', 'd8e7', 'b7b5', 'f6e5', 'd7b8', 'g8h8', 'f6g5', 'd7c5', 'd8c7', 'f6e7', 'h7h5', 'd8e8', 'f6d4', 'g7g5', 'f6h4', 'd7b6', 'd8a5', 'd8b6']","[0.6260928550975975, 0.6200396776969423, 0.6113275248507526, 0.603425129353426, 0.5990111810176295, 0.5963550316463674, 0.5936932221056321, 0.5936932221056321, 0.589244688568345, 0.5803043837193158, 0.5776116974476763, 0.5749143902876699, 0.5740142874632654, 0.5740142874632654, 0.5695065266470701, 0.5677001476173855, 0.5640820298184349, 0.5604570759825421, 0.5431567852197504, 0.5422429789460687, 0.2509451617398634, 0.21857334169044645, 0.061316966610996726, 0.056032737915242325]"
